,vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_CNG,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Automatic,transmission_type_Manual
182,8,64000,33.54,998,67.04,5,270000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
183,7,63000,26.0,1498,98.6,5,475000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
184,6,80000,12.55,2982,168.5,7,1755000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
185,10,55000,16.9,1497,100.0,5,350000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
186,5,11000,18.6,1197,81.83,5,575000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
187,4,17000,23.01,999,67.0,5,360000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
188,4,25000,24.7,796,47.3,5,275000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
189,5,33350,19.44,1198,67.0,7,320000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
190,6,62000,18.9,1197,82.0,5,370000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
191,12,59000,17.5,1298,85.8,5,275000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
192,7,86113,17.4,1497,117.3,5,550000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
193,3,10000,28.4,1248,74.02,5,750000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
194,6,92537,20.51,998,67.04,5,272000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
195,2,27645,28.09,1248,88.5,5,951000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
196,8,46242,20.92,998,67.1,5,280000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
197,8,70000,16.8,1497,116.3,5,545000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
198,1,6000,22.3,799,53.26,5,450000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
199,4,64000,18.6,1197,81.83,5,480000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
200,4,93000,15.4,1997,120.0,7,1060000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
201,8,26200,22.74,796,47.3,5,235000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
202,4,25000,21.4,1197,83.1,5,590000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
203,3,50000,12.9,2755,174.5,7,2950000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
204,13,80000,17.92,1086,62.1,5,110000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
205,14,110000,13.5,2179,115.0,5,280000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
